Year,Quarter,State,Registered_Users,App_Opens
2023,2,puducherry,564431,3817041
2023,2,tamil nadu,27317599,991611987
2023,2,uttar pradesh,49829833,1731600947
2023,2,madhya pradesh,25042930,2945628722
2023,2,andhra pradesh,30240061,1427952434
2023,2,tripura,743024,30819207
2023,2,lakshadweep,7585,90501
2023,2,manipur,519799,14076037
2023,2,maharashtra,60766850,3363859330
2023,2,dadra & nagar haveli & daman & diu,546364,4086025
2023,2,meghalaya,322382,47337234
2023,2,andaman & nicobar islands,96329,14738676
2023,2,haryana,16314236,298037706
2023,2,rajasthan,29745609,4033000288
2023,2,ladakh,115736,26285520
2023,2,punjab,9197055,218492661
2023,2,assam,5749682,657069673
2023,2,jharkhand,8980709,657119942
2023,2,odisha,15420061,918449931
2023,2,bihar,23781971,556071386
2023,2,kerala,11237341,121310794
2023,2,karnataka,39122314,2521576765
2023,2,chandigarh,678662,1978988
2023,2,telangana,27814633,1339967792
2023,2,himachal pradesh,2706470,136774775
2023,2,west bengal,27827662,350862668
2023,2,gujarat,24396768,1057626015
2023,2,sikkim,262728,28470875
2023,2,nagaland,351024,33612080
2023,2,mizoram,145061,21868647
2023,2,chhattisgarh,7469508,749111705
2023,2,jammu & kashmir,1953132,209249141
2023,2,goa,926020,20219644
2023,2,arunachal pradesh,426410,106089520
2023,2,delhi,17103089,51415039
2023,2,uttarakhand,4645322,240804293
2023,3,puducherry,586550,4653693
2023,3,tamil nadu,28405436,1117719858
2023,3,uttar pradesh,51870932,2143192720
2023,3,madhya pradesh,26109033,3495164168
2023,3,andhra pradesh,31493897,1157440497
2023,3,tripura,774678,49942954
2023,3,lakshadweep,7912,294406
2023,3,manipur,541572,20694295
2023,3,maharashtra,63150997,3152984827
2023,3,dadra & nagar haveli & daman & diu,569035,4449513
2023,3,meghalaya,336282,75055865
2023,3,andaman & nicobar islands,100255,20545079
2023,3,haryana,16956489,327497074
2023,3,rajasthan,30997182,4359306863
2023,3,ladakh,120435,42636030
2023,3,punjab,9555997,337107656
2023,3,assam,5998586,962849913
2023,3,jharkhand,9360730,806517236
2023,3,odisha,16064459,1002230051
2023,3,bihar,24776510,623923391
2023,3,kerala,11669143,145044427
2023,3,karnataka,40634390,2284389284
2023,3,chandigarh,704144,1924922
2023,3,telangana,28896668,993742805
2023,3,himachal pradesh,2816046,189307777
2023,3,west bengal,28966414,473450373
2023,3,gujarat,25383429,1679035143
2023,3,sikkim,272829,34906306
2023,3,nagaland,366203,51985056
2023,3,mizoram,151378,29019443
2023,3,chhattisgarh,7779977,951586898
2023,3,jammu & kashmir,2031447,283204829
2023,3,goa,961831,24017714
2023,3,arunachal pradesh,444789,112236680
2023,3,delhi,17747167,49593289
2023,3,uttarakhand,4829992,217340168
2023,4,puducherry,607838,32182677
2023,4,tamil nadu,29452801,1831285792
2023,4,uttar pradesh,53799813,3620813944
2023,4,madhya pradesh,27078072,1780548760
2023,4,andhra pradesh,32658698,1310002959
2023,4,tripura,806344,43591962
2023,4,lakshadweep,8225,924554
2023,4,manipur,564130,25551545
2023,4,maharashtra,65422120,3694003155
2023,4,dadra & nagar haveli & daman & diu,590760,36579378
2023,4,meghalaya,349330,30357626
2023,4,andaman & nicobar islands,103978,9845960
2023,4,haryana,17556642,904482321
2023,4,rajasthan,32157348,1905645600
2023,4,ladakh,124828,7108123
2023,4,punjab,9898002,605806581
2023,4,assam,6234780,558041955
2023,4,jharkhand,9707336,658553048
2023,4,odisha,16680992,701305081
2023,4,bihar,25695856,1822737403
2023,4,kerala,12084974,747303653
2023,4,karnataka,42031396,2565539566
2023,4,chandigarh,727594,35719991
2023,4,telangana,29902636,1520428750
2023,4,himachal pradesh,2924952,163694473
2023,4,west bengal,30064546,1467442959
2023,4,gujarat,26312655,1950081065
2023,4,sikkim,282575,15838198
2023,4,nagaland,381162,20169002
2023,4,mizoram,157627,9424810
2023,4,chhattisgarh,8057016,545124233
2023,4,jammu & kashmir,2108166,186302862
2023,4,goa,995923,64868903
2023,4,arunachal pradesh,462088,38873546
2023,4,delhi,18363626,738806624
2023,4,uttarakhand,5001826,287470297
2023,1,puducherry,543819,3498429
2023,1,tamil nadu,26270663,989061650
2023,1,uttar pradesh,47806049,1401343916
2023,1,madhya pradesh,24002818,2588256407
2023,1,andhra pradesh,29065863,1442038420
2023,1,tripura,710884,29736641
2023,1,lakshadweep,7267,43821
2023,1,manipur,498337,29419074
2023,1,maharashtra,58470784,3144152925
2023,1,dadra & nagar haveli & daman & diu,524617,4471284
2023,1,meghalaya,308324,44686919
2023,1,andaman & nicobar islands,92484,11012664
2023,1,haryana,15688161,264946266
2023,1,rajasthan,28523031,3711332541
2023,1,ladakh,110991,14522495
2023,1,punjab,8837408,177418342
2023,1,assam,5499650,590176321
2023,1,jharkhand,8609107,585808867
2023,1,odisha,14787083,929487633
2023,1,bihar,22796011,455886560
2023,1,kerala,10822723,116395880
2023,1,karnataka,37681426,2498025288
2023,1,chandigarh,654522,2001065
2023,1,telangana,26804259,1305656447
2023,1,himachal pradesh,2594668,111702044
2023,1,west bengal,26732895,321102681
2023,1,gujarat,23436230,918468944
2023,1,sikkim,252440,18927227
2023,1,nagaland,335936,35227154
2023,1,mizoram,138751,24403694
2023,1,chhattisgarh,7159660,678798431
2023,1,jammu & kashmir,1873039,134828711
2023,1,goa,892185,22829931
2023,1,arunachal pradesh,408273,88997458
2023,1,delhi,16480011,51049789
2023,1,uttarakhand,4464369,181738693
2021,2,puducherry,369961,5178916
2021,2,tamil nadu,17804542,343968474
2021,2,uttar pradesh,31651894,673598864
2021,2,madhya pradesh,15940935,727741649
2021,2,andhra pradesh,19620905,1044705436
2021,2,tripura,472153,9500881
2021,2,lakshadweep,4896,40301
2021,2,manipur,335409,7269002
2021,2,maharashtra,39664697,1208083592
2021,2,dadra & nagar haveli & daman & diu,344994,5062983
2021,2,meghalaya,205686,7290804
2021,2,andaman & nicobar islands,62095,2248223
2021,2,haryana,10530594,234052506
2021,2,rajasthan,18980985,1072091232
2021,2,ladakh,75048,4391632
2021,2,punjab,5976548,85894089
2021,2,assam,3617056,102003890
2021,2,jharkhand,5701503,184234107
2021,2,odisha,9891029,367576494
2021,2,bihar,14972134,371198660
2021,2,kerala,7416083,87814415
2021,2,karnataka,25751023,1051089714
2021,2,chandigarh,448572,4733924
2021,2,telangana,18306880,905317692
2021,2,himachal pradesh,1743151,43269977
2021,2,west bengal,17979979,275341466
2021,2,gujarat,15735981,282432543
2021,2,sikkim,171740,4541121
2021,2,nagaland,223337,6716892
2021,2,mizoram,92552,4014597
2021,2,chhattisgarh,4837055,205784717
2021,2,jammu & kashmir,1261267,34274559
2021,2,goa,609106,12710361
2021,2,arunachal pradesh,270572,13025849
2021,2,delhi,11182699,164997774
2021,2,uttarakhand,3004040,78380036
2021,3,puducherry,396609,6899592
2021,3,tamil nadu,19127440,459826734
2021,3,uttar pradesh,34151882,803890116
2021,3,madhya pradesh,17210233,929572924
2021,3,andhra pradesh,21059898,1258536879
